mean_r,std_r,kur_r,skew_r,mean_g,std_g,kur_g,skew_g,mean_b,std_b,kur_b,skew_b,entropy_r,entropy_g,contrast_r,contrast_g,contrast_b,corr_rg,corr_rb,corr_gb,moment_r,moment_g,moment_b,label
201.0905,17.46408628,4.144582737,-1.351803871,193.5043,16.66823271,4.144548411,-1.089710257,187.9825,15.52058613,4.265393896,-0.650937894,9.206380909,9.206476461,9.206840425,146,148,143,0.981154552,0.968331294,0.923613464,304.9943098,277.8299815,1
102.8237,22.03546274,1.592200362,0.525618237,107.7356,22.8748747,1.55088263,0.368559504,112.0641,23.40571706,1.321110882,0.053776321,9.18749579,9.187643235,9.187888599,179,185,187,0.964796277,0.980440601,0.920777947,485.5616183,523.2598926,0
126.4984,23.42457678,0.502441621,0.604498269,126.8334,21.32908916,0.626148918,0.6694294,126.2913,19.56518449,0.832780999,0.73318638,9.193536538,9.196525077,9.198638256,198,179,171,0.991147459,0.992886582,0.982996427,548.7107974,454.9300444,0
104.8479,19.68865068,2.740201681,1.616011338,106.7712,17.24821876,2.900099078,1.572941181,109.9946,15.23784666,2.73015563,1.404693756,9.194037612,9.198132126,9.201221047,142,132,124,0.978862223,0.985196246,0.962071716,387.6429656,297.5010506,0
115.7068,43.13093361,-0.365324501,0.409911234,114.8388,41.59306931,-0.296646232,0.374293878,113.9611,39.99511204,-0.202211732,0.287942845,9.140011089,9.143643857,9.146912302,221,212,221,0.992609622,0.992697681,0.977927263,1860.277434,1729.983415,1
155.8989,36.80292758,-0.258893166,-0.553875265,155.5419,32.75649011,-0.087993742,-0.585917083,151.9931,29.72515521,0.271700445,-0.662949029,9.180288512,9.186626022,9.189871943,205,198,199,0.991430717,0.988214727,0.970429054,1354.455479,1072.987644,1
136.2164,38.95066843,-0.980169987,0.239780808,133.7808,35.70242781,-0.916182669,0.269747216,132.296,33.99728789,-0.740865479,0.283723433,9.16926392,9.174710774,9.177309164,185,176,186,0.993448804,0.993141422,0.980984805,1517.154571,1274.663351,1
132.583,32.14100669,-0.318997091,0.408241262,133.3459,32.43613191,-0.254944549,0.446190961,138.1283,31.81550627,-0.179268665,0.502742149,9.181199952,9.181079672,9.184229698,181,185,182,0.994267166,0.995033616,0.988848414,1033.044311,1052.102653,0
121.6001,26.1672425,0.210866764,-0.618601474,119.3178,24.55016096,0.403787823,-0.699113137,116.1005,21.67630042,0.758297538,-0.851783246,9.185396101,9.187474878,9.191471049,204,192,162,0.992536022,0.979943345,0.958976616,684.72458,602.7104032,1
119.5691,14.10338347,1.54118624,0.809164267,119.4802,13.75638063,1.635517054,0.798833273,119.6594,13.37235176,1.850787993,0.850724809,9.203540425,9.203855374,9.204238366,114,107,110,0.987121607,0.983479566,0.967760964,198.9054252,189.238008,0
83.3885,29.27930614,7.769330898,2.713021792,84.6194,28.26265281,8.198777913,2.785220045,86.8958,26.44181806,8.419566731,2.809495777,9.160526156,9.165178033,9.17238751,197,185,175,0.983927381,0.986639611,0.970943562,857.2777678,798.7775436,0
